"id","title","year","area","url","read_depth","mota_factor_connection"
"FR001","101 Formulaic Alphas","2015","quant-alpha","https://arxiv.org/abs/1601.00991","deep","把游戏状态因子设计成可执行公式库，类似公式化 alpha"
"FR002","Empirical Asset Pricing via Machine Learning","2020","quant-factor","https://doi.org/10.1093/rfs/hhaa009","survey","用机器学习筛选非线性因子，映射到状态价值预测"
"FR003","Taming the Factor Zoo: A Test of New Factors","2020","quant-factor","https://doi.org/10.1111/jofi.12883","deep","因子去伪存真方法可用于剔除伪 reward"
"FR004","... and the Cross-Section of Expected Returns","2016","quant-factor","https://doi.org/10.1093/rfs/hhv059","survey","多重检验和过拟合风险对应 reward hacking"
"FR005","A Five-Factor Asset Pricing Model","2015","quant-factor","https://doi.org/10.1016/j.jfineco.2014.10.010","survey","多因子组合思想对应多资源权重组合"
"FR006","Common Risk Factors in the Returns on Stocks and Bonds","1993","quant-factor","https://doi.org/10.1016/0304-405X(93)90023-5","survey","基准因子框架对应魔塔基础状态因子"
"FR007","Returns to Buying Winners and Selling Losers: Implications for Stock Market Efficiency","1993","quant-factor","https://doi.org/10.1111/j.1540-6261.1993.tb04702.x","survey","动量思想对应楼层推进和资源滚雪球"
"FR008","On Persistence in Mutual Fund Performance","1997","quant-factor","https://doi.org/10.1111/j.1540-6261.1997.tb03808.x","survey","多因子归因对应策略轨迹归因"
"FR009","Betting Against Beta","2014","quant-factor","https://doi.org/10.1016/j.jfineco.2013.10.005","survey","风险暴露归一化对应不同楼层进度中性化"
"FR010","The Other Side of Value: The Gross Profitability Premium","2013","quant-factor","https://doi.org/10.1016/j.jfineco.2013.01.003","survey","质量因子对应资源质量，如攻防阈值而非资源数量"
"FR011","Value and Momentum Everywhere","2013","quant-factor","https://doi.org/10.1111/jofi.12021","survey","跨资产稳健性对应跨地图泛化"
"FR012","A q-factor Model of Expected Returns","2015","quant-factor","https://doi.org/10.1093/rfs/hhu083","survey","结构化经济解释对应结构化游戏机制解释"
