id,title,year,area,url,read_depth,mota_connection,experiment_role
DR001,Mastering Chess and Shogi by Self-Play with a General Reinforcement Learning Algorithm,2017,AlphaZero,https://arxiv.org/abs/1712.01815,survey,local_pdf_exists,future_world_model
DR002,Mastering the Game of Go without Human Knowledge,2017,AlphaGo Zero,https://www.nature.com/articles/nature24270,survey,url_recorded,future_world_model
DR003,Mastering Atari with Deep Reinforcement Learning,2013,DQN,https://arxiv.org/abs/1312.5602,survey,url_recorded,background
DR004,Human-level Control through Deep Reinforcement Learning,2015,DQN,https://www.nature.com/articles/nature14236,survey,url_recorded,background
DR005,Deep Reinforcement Learning with Double Q-learning,2015,Double DQN,https://arxiv.org/abs/1509.06461,survey,url_recorded,background
DR006,Dueling Network Architectures for Deep Reinforcement Learning,2015,Dueling DQN,https://arxiv.org/abs/1511.06581,survey,url_recorded,background
DR007,Prioritized Experience Replay,2015,Replay,https://arxiv.org/abs/1511.05952,survey,url_recorded,background
DR008,Noisy Networks for Exploration,2017,Exploration,https://arxiv.org/abs/1706.10295,survey,url_recorded,background
DR009,A Distributional Perspective on Reinforcement Learning,2017,C51,https://arxiv.org/abs/1707.06887,survey,url_recorded,background
DR010,Rainbow Combining Improvements in Deep Reinforcement Learning,2017,Rainbow,https://arxiv.org/abs/1710.02298,survey,url_recorded,background
DR011,Beyond the Rainbow High Performance Deep Reinforcement Learning on a Desktop PC,2024,BTR,https://arxiv.org/abs/2411.03820,survey,url_recorded,background
DR012,Mastering Atari Go Chess and Shogi by Planning with a Learned Model,2019,MuZero,https://arxiv.org/abs/1911.08265,survey,url_recorded,future_world_model
DR013,Learning and Planning in Complex Action Spaces,2021,Sampled MuZero,https://arxiv.org/abs/2104.06303,survey,url_recorded,future_world_model
DR014,Policy Improvement by Planning with Gumbel,2021,Gumbel MuZero,https://openreview.net/forum?id=bERaNdoegnO,survey,url_recorded,future_world_model
DR015,EfficientZero Mastering Atari Games with Limited Data,2021,EfficientZero,https://arxiv.org/abs/2111.00210,survey,url_recorded,future_world_model
DR016,UniZero Generalized and Efficient Planning with Scalable Latent World Models,2024,UniZero,https://arxiv.org/abs/2406.10667,survey,url_recorded,future_world_model
DR017,Thinker Learning to Plan and Act,2023,Thinker,https://arxiv.org/abs/2307.14993,survey,url_recorded,background
DR018,Learning to Search with MCTSnets,2018,MCTSnet,https://arxiv.org/abs/1802.04697,survey,url_recorded,background
DR019,World Models,2018,World Model,https://arxiv.org/abs/1803.10122,survey,url_recorded,background
DR020,Learning Latent Dynamics for Planning from Pixels,2018,PlaNet,https://arxiv.org/abs/1811.04551,survey,url_recorded,background
DR021,Dream to Control Learning Behaviors by Latent Imagination,2019,Dreamer,https://arxiv.org/abs/1912.01603,survey,url_recorded,background
DR022,Mastering Atari with Discrete World Models,2020,DreamerV2,https://arxiv.org/abs/2010.02193,survey,url_recorded,background
DR023,Mastering Diverse Domains through World Models,2023,DreamerV3,https://arxiv.org/abs/2301.04104,survey,url_recorded,background
DR024,Planning to Explore via Self-Supervised World Models,2020,Plan2Explore,https://arxiv.org/abs/2005.05960,survey,url_recorded,background
DR025,Exploration by Random Network Distillation,2018,RND,https://arxiv.org/abs/1810.12894,survey,url_recorded,background
DR026,Curiosity-driven Exploration by Self-supervised Prediction,2017,ICM,https://arxiv.org/abs/1705.05363,survey,url_recorded,background
DR027,First Return Then Explore,2020,Go-Explore,https://arxiv.org/abs/2004.12919,survey,url_recorded,background
DR028,Never Give Up Learning Directed Exploration Strategies,2020,NGU,https://arxiv.org/abs/2002.06038,survey,url_recorded,background
DR029,Between MDPs and Semi-MDPs A Framework for Temporal Abstraction,1999,Options,https://www.sciencedirect.com/science/article/pii/S0004370299000521,survey,url_recorded,background
DR030,Hierarchical Reinforcement Learning with the MAXQ Value Function Decomposition,2000,MAXQ,https://arxiv.org/abs/cs/9905014,survey,url_recorded,background
DR031,FeUdal Networks for Hierarchical Reinforcement Learning,2017,Feudal RL,https://arxiv.org/abs/1703.01161,survey,url_recorded,background
DR032,The Option-Critic Architecture,2016,Option-Critic,https://arxiv.org/abs/1609.05140,survey,url_recorded,background
DR033,Data-Efficient Hierarchical Reinforcement Learning,2018,HIRO,https://arxiv.org/abs/1805.08296,survey,url_recorded,background
DR034,Learning Multi-Level Hierarchies with Hindsight,2017,HAC,https://arxiv.org/abs/1712.00948,survey,url_recorded,background
DR035,Hindsight Experience Replay,2017,HER,https://arxiv.org/abs/1707.01495,survey,url_recorded,background
DR036,Solving Sokoban using Hierarchical Reinforcement Learning with Landmarks,2025,HalfWeg,https://arxiv.org/abs/2504.04366,survey,url_recorded,background
DR037,SEADS Symbolic Effect-Aware Diverse Skills,2022,Skills,https://openreview.net/forum?id=F4fX9P3wP2,survey,url_recorded,background
DR038,SOKOBAN and Other Motion Planning Problems,1999,Complexity,https://www.ic.unicamp.br/~santiago/assets/mc558/2024%20-%202%20-%20projects/sokoban%20and%20other%20motion%20plannig%20problems.pdf,survey,url_recorded,background
DR039,The NetHack Learning Environment,2020,NLE,https://arxiv.org/abs/2006.13760,survey,url_recorded,background
DR040,MiniHack The Planet of the Apps,2021,MiniHack,https://arxiv.org/abs/2109.13202,survey,url_recorded,background
DR041,Dungeons and Data A Large-Scale NetHack Dataset,2022,NLE Dataset,https://arxiv.org/abs/2211.00539,survey,url_recorded,background
DR042,StarCraft II A New Challenge for Reinforcement Learning,2017,SC2LE,https://arxiv.org/abs/1708.04782,survey,url_recorded,background
DR043,Boxoban A Procedurally Generated Sokoban Benchmark,2019,Sokoban,https://github.com/deepmind/boxoban-levels,survey,url_recorded,background
DR044,An Investigation of Model-Free Planning in Boxoban,2020,DRC,https://arxiv.org/abs/2007.08463,survey,url_recorded,background
DR045,Beyond A Better Planning with Transformers via Search Dynamics Bootstrapping,2024,Searchformer,https://arxiv.org/abs/2402.14083,survey,url_recorded,background
DR046,Path Channels and Plan Extension Kernels A Mechanistic Description of Planning in a Sokoban RNN,2026,Interpretability,https://iclr.pangram.com/reviews?query=Path%20Channels%20and%20Plan%20Extension%20Kernels,survey,url_recorded,background
DR047,Decision Transformer Reinforcement Learning via Sequence Modeling,2021,Offline RL,https://arxiv.org/abs/2106.01345,survey,url_recorded,background
DR048,Trajectory Transformer,2021,Offline RL,https://arxiv.org/abs/2106.02039,survey,url_recorded,background
DR049,Language Models as Zero-Shot Planners,2022,LLM Planner,https://arxiv.org/abs/2201.07207,survey,url_recorded,background
DR050,RAP Reasoning via Planning with Language Models,2023,LLM Planner,https://arxiv.org/abs/2305.14992,survey,url_recorded,background
DR051,LLM-Planner Few-Shot Grounded Planning for Embodied Agents,2022,LLM Planner,https://arxiv.org/abs/2212.04088,survey,url_recorded,background
DR052,OpenGame Generating Games with Large Language Models,2024,LLM Game,https://arxiv.org/abs/2407.00950,survey,url_recorded,background
DR053,LightZero A Unified Benchmark for Monte Carlo Tree Search in General Sequential Decision Scenarios,2023,LightZero,https://github.com/opendilab/LightZero,survey,url_recorded,future_world_model
DR054,mota-js HTML5 Magic Tower Template,2026,Environment,https://github.com/ckcz123/mota-js,survey,url_recorded,background
